t_s,fps,frame_ms_ema,fixed_ticks,meshed,dirty,visible_unready,rss_mb,cam_x,cam_y,cam_z,focus_x,focus_y,focus_z
231.00,59.94,16.68,4619,1016,0,954,550.5,131.7,187.0,140.3,190.3,126.0,126.1
232.00,78.78,12.69,4639,1016,0,788,550.5,199.0,192.8,204.8,223.9,126.0,148.4
233.01,60.06,16.65,4660,1016,0,679,550.5,254.9,196.6,224.1,245.0,126.0,162.4
234.03,63.63,15.72,4680,1016,0,659,550.5,264.9,197.1,223.9,248.0,126.0,163.9
235.03,60.09,16.64,4700,1016,0,717,550.5,258.7,193.0,206.9,239.0,126.0,152.4
236.03,59.94,16.68,4720,1016,0,802,550.5,245.3,185.0,175.4,222.2,126.0,131.4
237.03,74.23,13.47,4740,1016,0,890,550.5,224.7,174.4,135.6,200.8,126.0,104.4
238.05,61.89,16.16,4760,1016,0,947,550.5,198.3,152.2,93.5,177.2,116.1,74.8
239.05,59.93,16.69,4780,1016,0,868,550.5,170.8,118.5,56.6,155.2,94.2,47.1
240.06,60.17,16.62,4801,1016,0,784,550.5,146.5,83.1,28.3,137.0,69.0,24.3
241.06,59.98,16.67,4821,1016,0,753,550.5,131.6,63.8,12.5,126.3,56.0,10.8
242.06,74.48,13.43,4841,1016,0,740,550.6,128.5,43.8,9.7,124.5,38.1,8.5
243.08,60.04,16.65,4861,1016,0,740,550.6,127.7,51.0,9.3,124.5,46.9,8.5
244.10,59.89,16.70,4881,1016,0,740,550.6,130.6,59.6,9.3,124.5,53.2,8.5
245.11,60.29,16.59,4902,1016,0,740,550.6,131.9,62.1,8.4,124.5,56.1,8.5
246.13,62.74,15.94,4922,1016,0,740,550.6,127.8,57.1,7.9,124.5,55.0,8.5
247.13,69.04,14.49,4942,1016,0,740,550.6,133.8,54.9,5.5,124.5,50.2,8.5
248.15,60.07,16.65,4962,1016,0,740,550.6,128.4,43.9,6.8,124.5,42.4,8.5
249.15,60.03,16.66,4982,1016,0,740,550.6,125.8,33.3,7.8,124.5,32.8,8.5
250.16,62.20,16.08,5003,1016,0,739,550.6,132.8,64.4,3.1,123.4,61.0,8.4
251.18,60.08,16.65,5023,1016,0,739,550.6,126.0,72.1,0.2,115.8,68.0,8.0
252.18,66.80,14.97,5043,1016,0,742,550.6,112.9,75.2,-3.7,103.2,70.0,8.0
253.18,60.08,16.65,5063,1016,0,734,550.6,94.8,69.1,-8.6,87.6,62.5,8.0
254.20,61.83,16.17,5083,1016,0,716,550.6,73.0,72.8,-13.0,70.7,64.5,8.0
255.21,60.11,16.63,5104,1016,0,669,550.6,50.9,71.7,-15.5,55.0,61.8,8.0
256.23,60.04,16.66,5124,1016,0,631,550.6,32.8,66.1,-16.0,42.8,54.8,8.0
257.23,66.34,15.07,5144,1016,0,617,550.6,22.8,56.8,-15.7,36.2,44.7,8.0
258.23,61.61,16.23,5164,1016,0,613,550.6,21.3,59.1,-15.3,35.4,46.8,8.0
259.25,60.06,16.65,5184,1016,0,613,550.6,19.0,69.7,-13.2,35.1,57.0,8.0
260.26,59.93,16.69,5205,1016,0,613,550.6,15.8,77.2,-9.3,34.6,64.0,8.0
261.28,60.08,16.64,5225,1016,0,613,550.6,13.0,80.5,-4.1,34.0,66.7,8.0
262.28,64.70,15.46,5245,1016,0,609,550.6,11.6,79.1,1.2,33.3,64.7,8.0
263.28,60.12,16.63,5265,1016,0,609,550.6,11.3,73.2,5.9,32.7,58.4,8.0
264.30,60.04,16.66,5285,1016,0,605,550.6,11.8,63.6,9.3,32.3,48.6,8.0
265.30,59.92,16.69,5305,1016,0,601,550.6,12.3,52.2,11.0,32.0,37.0,8.0
266.31,60.81,16.44,5326,1016,0,601,550.6,11.6,59.5,11.6,31.8,43.9,8.0
267.31,63.71,15.70,5346,1016,0,638,550.6,8.2,78.1,22.5,30.6,59.5,16.3
268.33,60.11,16.64,5366,1016,0,698,550.6,3.5,96.1,46.5,28.8,72.6,35.2
269.35,60.02,16.66,5386,1016,0,766,550.6,-0.5,110.8,76.8,26.7,80.8,58.2
270.36,60.61,16.50,5407,1016,0,822,550.6,-2.2,120.0,108.9,24.4,82.8,82.0
271.38,59.99,16.67,5427,1016,0,840,550.6,-1.7,122.6,137.9,22.3,78.5,103.6
272.38,62.83,15.92,5447,1016,0,838,550.7,0.1,118.3,159.3,20.8,68.7,119.7
273.40,59.94,16.68,5467,1016,0,835,550.7,1.3,107.1,169.8,20.0,54.7,127.7
274.41,60.29,16.59,5488,1016,0,837,550.7,2.7,116.4,168.7,20.0,63.2,125.9
